time_msc;open;sma;current_delta;forecast_delta
2024-05-27 12:47:45;124875;124877,8571;0;-1,071428571
2024-05-27 12:47:50;124865;124876,7857;-1,071428571;-1,785714286
2024-05-27 12:47:55;124855;124875;-1,785714286;-2,142857143
2024-05-27 12:48:00;124850;124872,8571;-2,142857143;-2,5
2024-05-27 12:48:05;124840;124870,3571;-2,5;-1,785714286
2024-05-27 12:48:10;124855;124868,5714;-1,785714286;-2,5
2024-05-27 12:48:15;124840;124866,0714;-2,5;-2,5
2024-05-27 12:48:20;124845;124863,5714;-2,5;-3,928571429
2024-05-27 12:48:25;124830;124859,6429;-3,928571429;-3,214285714
2024-05-27 12:48:30;124840;124856,4286;-3,214285714;-2,5
2024-05-27 12:48:35;124840;124853,9286;-2,5;-2,5
2024-05-27 12:48:40;124835;124851,4286;-2,5;-2,857142857
2024-05-27 12:48:45;124835;124848,5714;-2,857142857;-2,5
2024-05-27 12:48:50;124840;124846,0714;-2,5;-2,5
2024-05-27 12:48:55;124840;124843,5714;-2,5;-1,785714286
2024-05-27 12:49:00;124840;124841,7857;-1,785714286;-0,714285714
2024-05-27 12:49:05;124845;124841,0714;-0,714285714;-0,714285714
2024-05-27 12:49:10;124840;124840,3571;-0,714285714;0
2024-05-27 12:49:15;124840;124840,3571;0;-1,428571429
2024-05-27 12:49:20;124835;124838,9286;-1,428571429;-0,714285714
2024-05-27 12:49:25;124830;124838,2143;-0,714285714;-0,357142857
2024-05-27 12:49:30;124840;124837,8571;-0,357142857;0
2024-05-27 12:49:35;124830;124837,8571;0;-0,714285714
2024-05-27 12:49:40;124830;124837,1429;-0,714285714;-0,357142857
2024-05-27 12:49:45;124835;124836,7857;-0,357142857;-0,357142857
2024-05-27 12:49:50;124830;124836,4286;-0,357142857;-1,071428571
2024-05-27 12:49:55;124820;124835,3571;-1,071428571;-0,714285714
2024-05-27 12:50:00;124830;124834,6429;-0,714285714;-0,714285714
2024-05-27 12:50:05;124830;124833,9286;-0,714285714;-1,071428571
2024-05-27 12:50:10;124825;124832,8571;-1,071428571;-1,428571429
2024-05-27 12:50:15;124825;124831,4286;-1,428571429;-2,142857143
2024-05-27 12:50:20;124810;124829,2857;-2,142857143;-2,142857143
2024-05-27 12:50:25;124810;124827,1429;-2,142857143;-1,785714286
2024-05-27 12:50:30;124810;124825,3571;-1,785714286;-1,785714286
2024-05-27 12:50:35;124805;124823,5714;-1,785714286;-2,5
2024-05-27 12:50:40;124805;124821,0714;-2,5;-1,071428571
2024-05-27 12:50:45;124815;124820;-1,071428571;-0,357142857
